ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
186,0,0,78,0,-78
187,1,0,13,0,-13
188,1,1,89,1240,1151
189,0,0,51,0,-51
190,0,0,51,0,-51
191,1,1,763,1707,944
192,1,0,44,0,-44
193,1,1,163,1437,1274
194,1,0,17,0,-17
195,1,0,57,0,-57
196,1,0,19,0,-19
197,1,0,28,0,-28
198,1,0,35,0,-35
199,0,0,1,0,-1
200,1,1,194,1751,1557
201,1,1,1528,1370,-158
202,0,0,43,0,-43
203,1,1,291,1554,1263
204,1,1,836,1289,453
205,0,0,33,0,-33
206,0,0,1,0,-1
207,0,0,7,0,-7
208,1,0,78,0,-78
209,0,0,23,0,-23
210,0,0,51,0,-51
211,0,0,53,0,-53
212,0,0,21,0,-21
213,0,0,113,0,-113
214,0,0,7,0,-7
215,1,1,173,5717,5544
216,0,0,1,0,-1
217,1,1,625,1467,842
218,0,0,144,0,-144
219,1,0,31,0,-31
220,0,0,20,0,-20
221,0,0,12,0,-12
222,1,0,101,0,-101
223,0,0,3,0,-3
224,1,1,165,1549,1384
225,1,0,63,0,-63
226,1,0,61,0,-61
227,1,0,53,0,-53
228,1,0,49,0,-49
229,1,1,765,1331,566
230,1,0,7,0,-7
231,1,1,254,1203,949
232,0,0,0,0,0
233,1,1,929,2559,1630
234,1,1,626,1389,763
235,0,0,166,0,-166
236,1,0,12,0,-12
237,1,0,10,0,-10
238,1,1,677,1316,639
239,1,1,117,1720,1603
240,1,0,24,0,-24
241,1,1,369,1750,1381
242,0,0,9,0,-9
243,0,0,16,0,-16
244,0,0,59,0,-59
245,0,0,25,0,-25
246,1,1,752,2577,1825
247,1,0,109,0,-109
248,1,0,48,0,-48
249,1,0,23,0,-23
250,1,1,1056,1349,293
251,0,0,1,0,-1
252,1,1,190,1225,1035
253,1,1,797,1253,456
254,1,0,120,0,-120
255,0,0,72,0,-72
256,0,0,24,0,-24
257,1,0,28,0,-28
258,1,0,9,0,-9
259,1,1,676,2097,1421
260,1,0,104,0,-104
261,1,0,44,0,-44
262,1,1,773,1728,955
263,0,0,0,0,0
264,1,0,17,0,-17
265,0,0,16,0,-16
266,0,0,2,0,-2
267,1,1,204,1395,1191
268,0,0,54,0,-54
269,1,1,112,1362,1250
270,0,0,14,0,-14
271,0,0,140,0,-140
272,1,1,393,1718,1325
273,1,1,431,1260,829
274,0,0,8,0,-8
275,1,0,167,0,-167
276,1,0,3,0,-3
277,0,0,17,0,-17
278,1,1,879,1242,363
279,1,1,632,1407,775
280,0,0,102,0,-102
281,0,0,53,0,-53
282,0,0,29,0,-29
283,0,0,60,0,-60
284,0,0,61,0,-61
285,1,0,50,0,-50
286,0,0,19,0,-19
287,1,0,11,0,-11
288,0,0,80,0,-80
289,0,0,116,0,-116
290,1,1,2088,1258,-830
291,1,1,1578,1733,155
292,1,1,818,2083,1265
293,1,1,1212,1379,167
294,1,0,132,0,-132
295,1,1,278,1361,1083
296,1,1,1249,1374,125
297,0,0,5,0,-5
298,1,1,85,1363,1278
299,0,0,249,0,-249
300,1,0,194,0,-194
301,0,0,120,0,-120
302,0,0,61,0,-61
303,1,0,19,0,-19
304,0,0,83,0,-83
305,0,0,32,0,-32
306,1,1,134,1467,1333
307,0,0,8,0,-8
308,1,1,1903,1419,-484
309,1,0,22,0,-22
310,1,0,30,0,-30
311,0,0,205,0,-205
312,0,0,87,0,-87
313,0,0,26,0,-26
314,0,0,113,0,-113
315,0,0,11,0,-11
316,0,0,20,0,-20
317,1,0,37,0,-37
318,1,0,112,0,-112
319,0,0,162,0,-162
320,0,0,25,0,-25
321,1,1,453,1294,841
322,0,0,86,0,-86
323,1,0,328,0,-328
324,0,0,58,0,-58
325,0,0,36,0,-36
326,1,1,56,1299,1243
327,0,0,8,0,-8
328,0,0,19,0,-19
329,0,0,0,0,0
330,1,1,410,2818,2408
331,1,0,48,0,-48
332,0,0,66,0,-66
333,1,0,32,0,-32
334,1,0,50,0,-50
335,1,1,1092,2363,1271
336,1,1,511,1271,760
337,1,1,343,1408,1065
338,1,0,51,0,-51
339,0,0,16,0,-16
340,1,0,69,0,-69
341,1,1,565,2328,1763
342,1,0,28,0,-28
343,1,1,165,1336,1171
344,0,0,0,0,0
345,0,0,292,0,-292
346,1,0,18,0,-18
347,1,1,508,1240,732
348,0,0,42,0,-42
349,0,0,175,0,-175
350,1,0,98,0,-98
351,1,0,38,0,-38
352,1,0,83,0,-83
353,1,0,123,0,-123
354,0,0,53,0,-53
355,1,1,674,1741,1067
356,0,0,77,0,-77
357,1,1,404,2094,1690
358,1,0,40,0,-40
359,0,0,14,0,-14
360,1,0,53,0,-53
361,0,0,8,0,-8
362,1,0,25,0,-25
363,1,1,14,2348,2334
364,0,0,88,0,-88
365,1,1,82,1342,1260
366,1,0,183,0,-183
367,1,0,27,0,-27
368,0,0,103,0,-103
369,0,0,200,0,-200
370,1,0,40,0,-40
371,1,0,3,0,-3
372,0,0,40,0,-40
373,0,0,25,0,-25
374,0,0,4,0,-4
375,1,1,31,1344,1313
376,1,1,22,1706,1684
377,1,1,40,1248,1208
378,0,0,21,0,-21
379,1,1,562,1308,746
380,0,0,53,0,-53
381,1,0,34,0,-34
382,1,1,40,1427,1387
383,1,1,413,2093,1680
384,1,0,15,0,-15
385,1,0,54,0,-54
386,1,0,130,0,-130
387,1,0,78,0,-78
388,0,0,25,0,-25
389,0,0,26,0,-26
390,1,1,184,1786,1602
391,1,1,1173,1263,90
392,1,0,8,0,-8
393,1,1,352,1409,1057
394,1,1,298,1445,1147
395,0,0,72,0,-72
396,0,0,127,0,-127
397,0,0,72,0,-72
398,0,0,15,0,-15
399,1,1,141,1228,1087
400,1,0,1,0,-1
401,1,1,251,1256,1005
402,0,0,0,0,0
403,1,1,312,1355,1043
404,1,0,9,0,-9
405,1,0,77,0,-77
406,1,1,328,1382,1054
407,0,0,19,0,-19
408,0,0,175,0,-175
409,1,0,14,0,-14
410,1,0,55,0,-55
411,1,1,979,1307,328
412,1,0,41,0,-41
413,1,0,48,0,-48
414,1,1,1242,1477,235
415,1,0,43,0,-43
416,0,0,26,0,-26
417,0,0,23,0,-23
418,0,0,5,0,-5
419,0,0,138,0,-138
420,1,0,13,0,-13
421,1,1,55,1335,1280
422,1,1,860,3425,2565
423,1,1,377,1317,940
424,0,0,51,0,-51
425,0,0,36,0,-36
426,1,0,9,0,-9
427,1,0,98,0,-98
428,1,1,606,1395,789
429,1,0,14,0,-14
430,1,1,98,1729,1631
431,1,1,245,1331,1086
432,1,1,370,1397,1027
433,0,0,10,0,-10
434,0,0,14,0,-14
435,0,0,6,0,-6
436,0,0,22,0,-22
437,0,0,77,0,-77
438,1,0,27,0,-27
439,0,0,56,0,-56
440,0,0,93,0,-93
441,0,0,30,0,-30
442,0,0,78,0,-78
443,0,0,24,0,-24
444,1,1,553,1209,656
445,1,1,632,2426,1794
446,1,1,112,1345,1233
447,1,0,51,0,-51
448,1,0,25,0,-25
449,1,0,0,0,0
450,1,0,7,0,-7
451,0,0,120,0,-120
452,1,1,599,1306,707
453,1,0,97,0,-97
454,0,0,78,0,-78
455,1,1,316,1569,1253
456,1,1,419,1421,1002
457,1,0,85,0,-85
458,0,0,2,0,-2
459,1,0,7,0,-7
460,1,1,630,1307,677
461,0,0,8,0,-8
462,1,0,92,0,-92
463,1,1,468,1480,1012
464,1,0,78,0,-78
465,0,0,26,0,-26
466,0,0,16,0,-16
467,0,0,56,0,-56
468,0,0,21,0,-21
469,1,0,51,0,-51
470,0,0,2,0,-2
471,1,1,126,2314,2188
472,0,0,2,0,-2
473,0,0,100,0,-100
474,0,0,11,0,-11
475,0,0,37,0,-37
476,1,0,104,0,-104
477,1,0,9,0,-9
478,0,0,42,0,-42
479,1,1,168,2030,1862
480,0,0,44,0,-44
481,0,0,8,0,-8
482,1,1,101,3064,2963
483,0,0,63,0,-63
484,1,0,15,0,-15
485,0,0,38,0,-38
486,0,0,6,0,-6
487,1,1,1392,2603,1211
488,0,0,29,0,-29
489,0,0,38,0,-38
490,0,0,17,0,-17
491,1,1,62,1345,1283
492,1,1,562,1801,1239
493,1,1,335,1520,1185
494,1,0,57,0,-57
495,0,0,82,0,-82
496,1,1,244,1213,969
497,1,0,30,0,-30
498,1,0,38,0,-38
499,0,0,174,0,-174
500,0,0,11,0,-11
501,1,1,156,1775,1619
502,1,1,579,1595,1016
503,0,0,143,0,-143
504,1,0,10,0,-10
505,0,0,227,0,-227
506,1,0,54,0,-54
507,0,0,43,0,-43
508,1,0,5,0,-5
509,1,1,156,2180,2024
510,1,1,182,1607,1425
511,1,0,65,0,-65
512,1,1,764,3532,2768
513,1,1,111,1510,1399
514,0,0,17,0,-17
515,1,0,19,0,-19
516,0,0,128,0,-128
517,0,0,135,0,-135
518,0,0,95,0,-95
519,0,0,52,0,-52
520,0,0,44,0,-44
521,1,1,226,1457,1231
522,0,0,119,0,-119
523,0,0,12,0,-12
524,1,1,42,1329,1287
525,1,0,233,0,-233
526,1,0,34,0,-34
527,1,0,7,0,-7
528,0,0,98,0,-98
529,1,1,468,1345,877
530,1,1,255,1273,1018
531,1,1,1704,1763,59
532,1,1,82,1209,1127
533,1,1,198,1284,1086
534,1,0,77,0,-77
535,1,0,77,0,-77
536,0,0,35,0,-35
537,1,1,522,1270,748
538,1,1,786,1235,449
539,1,0,29,0,-29
540,1,0,27,0,-27
541,0,0,17,0,-17
542,0,0,94,0,-94
543,0,0,137,0,-137
544,0,0,24,0,-24
545,1,0,0,0,0
546,1,0,37,0,-37
547,0,0,65,0,-65
548,0,0,3,0,-3
549,1,1,370,2686,2316
550,1,0,101,0,-101
551,1,1,563,1242,679
552,0,0,2,0,-2
553,1,1,518,1215,697
554,0,0,188,0,-188
555,1,0,25,0,-25
556,1,0,39,0,-39
557,1,1,676,1209,533
558,0,0,24,0,-24
559,0,0,4,0,-4
560,1,0,1,0,-1
561,0,0,29,0,-29
562,1,0,24,0,-24
563,0,0,61,0,-61
564,0,0,72,0,-72
565,0,0,30,0,-30
566,0,0,68,0,-68
567,1,1,193,1611,1418
568,1,0,43,0,-43
569,1,0,105,0,-105
570,1,1,345,1554,1209
571,0,0,8,0,-8
572,1,0,90,0,-90
573,0,0,46,0,-46
574,1,0,40,0,-40
575,0,0,71,0,-71
576,1,1,640,1634,994
577,0,0,2,0,-2
578,1,0,182,0,-182
579,1,0,100,0,-100
580,1,0,15,0,-15
581,0,0,23,0,-23
582,0,0,16,0,-16
583,1,0,67,0,-67
584,1,1,324,1282,958
585,1,0,7,0,-7
586,1,0,72,0,-72
587,1,1,398,1622,1224
588,0,0,40,0,-40
589,1,1,495,1710,1215
590,0,0,28,0,-28
591,0,0,18,0,-18
592,1,1,99,2309,2210
593,0,0,251,0,-251
594,1,0,47,0,-47
595,0,0,6,0,-6
596,1,0,2,0,-2
597,1,1,548,1484,936
598,1,0,6,0,-6
599,0,0,59,0,-59
600,1,0,51,0,-51
601,1,1,224,1458,1234
602,1,0,21,0,-21
603,0,0,154,0,-154
604,1,0,24,0,-24
605,0,0,89,0,-89
606,0,0,115,0,-115
607,0,0,61,0,-61
608,1,0,21,0,-21
609,0,0,2,0,-2
610,0,0,110,0,-110
611,1,1,2866,1831,-1035
612,0,0,26,0,-26
613,0,0,73,0,-73
614,1,0,9,0,-9
615,0,0,54,0,-54
616,0,0,72,0,-72
617,1,1,119,1413,1294
618,0,0,2,0,-2
619,1,0,132,0,-132
620,1,1,1143,1275,132
621,1,1,131,1390,1259
622,0,0,33,0,-33
623,1,0,110,0,-110
624,1,1,508,1674,1166
625,1,0,85,0,-85
626,1,1,1290,2902,1612
627,0,0,129,0,-129
628,1,1,1059,2067,1008
629,1,0,158,0,-158
630,0,0,20,0,-20
631,0,0,49,0,-49
632,1,0,34,0,-34
633,0,0,30,0,-30
634,0,0,44,0,-44
635,1,0,87,0,-87
636,0,0,41,0,-41
637,1,1,806,1230,424
638,1,1,64,1259,1195
639,1,0,63,0,-63
640,0,0,7,0,-7
641,1,0,34,0,-34
642,1,1,884,1265,381
643,1,0,65,0,-65
644,0,0,26,0,-26
645,0,0,24,0,-24
646,1,0,8,0,-8
647,1,0,44,0,-44
648,0,0,23,0,-23
649,1,0,34,0,-34
650,0,0,32,0,-32
651,0,0,57,0,-57
652,1,1,160,2878,2718
653,0,0,89,0,-89
654,0,0,36,0,-36
655,0,0,16,0,-16
656,1,0,10,0,-10
657,0,0,74,0,-74
658,1,1,600,1622,1022
659,1,1,331,1901,1570
660,1,1,690,1274,584
661,1,0,37,0,-37
662,1,1,216,1219,1003
663,0,0,24,0,-24
664,0,0,81,0,-81
665,0,0,42,0,-42
666,0,0,76,0,-76
667,1,0,6,0,-6
668,1,0,76,0,-76
669,0,0,25,0,-25
670,0,0,25,0,-25
671,0,0,2,0,-2
672,0,0,152,0,-152
673,1,1,656,1320,664
674,0,0,105,0,-105
675,1,0,2,0,-2
676,0,0,8,0,-8
677,0,0,68,0,-68
678,1,0,90,0,-90
679,1,1,197,2229,2032
680,1,1,61,1828,1767
681,1,0,4,0,-4
682,1,0,43,0,-43
683,1,1,1317,1668,351
684,1,0,116,0,-116
685,0,0,12,0,-12
686,0,0,79,0,-79
687,1,0,74,0,-74
688,1,0,11,0,-11
689,0,0,13,0,-13
690,0,0,61,0,-61
691,0,0,92,0,-92
692,0,0,11,0,-11
693,0,0,92,0,-92
694,1,0,201,0,-201
695,0,0,36,0,-36
696,0,0,0,0,0
697,1,0,67,0,-67
698,1,1,785,3032,2247
699,1,1,130,1232,1102
700,1,1,1938,1371,-567
701,0,0,18,0,-18
702,1,0,102,0,-102
703,1,0,59,0,-59
704,0,0,10,0,-10
705,1,0,69,0,-69
706,1,0,102,0,-102
707,0,0,67,0,-67
708,1,0,244,0,-244
709,1,1,387,1671,1284
710,0,0,65,0,-65
711,1,0,2,0,-2
712,1,1,29,2349,2320
713,1,1,794,2322,1528
714,0,0,8,0,-8
715,1,0,28,0,-28
716,1,1,238,1374,1136
717,0,0,34,0,-34
718,0,0,41,0,-41
719,0,0,2,0,-2
720,1,1,111,1259,1148
721,0,0,58,0,-58
722,1,0,0,0,0
723,1,1,153,1220,1067
724,0,0,12,0,-12
725,0,0,22,0,-22
726,1,1,1255,1260,5
727,0,0,0,0,0
728,0,0,50,0,-50
729,1,0,110,0,-110
730,0,0,198,0,-198
731,0,0,21,0,-21
732,1,1,1540,1224,-316
733,0,0,10,0,-10
734,1,0,35,0,-35
735,1,1,90,2149,2059
736,1,0,40,0,-40
737,0,0,9,0,-9
738,0,0,37,0,-37
739,0,0,79,0,-79
740,1,0,71,0,-71
741,0,0,128,0,-128
742,0,0,115,0,-115
743,0,0,47,0,-47
744,0,0,64,0,-64
745,1,1,941,1732,791
746,1,1,624,1326,702
747,1,1,2222,1435,-787
748,0,0,0,0,0
749,1,0,126,0,-126
750,0,0,51,0,-51
751,1,0,17,0,-17
752,1,1,307,1362,1055
753,1,1,656,1435,779
754,1,0,24,0,-24
755,1,1,229,1659,1430
756,1,1,118,1249,1131
757,1,0,9,0,-9
758,0,0,19,0,-19
759,0,0,27,0,-27
760,1,0,257,0,-257
761,1,1,341,1384,1043
762,1,1,2148,1387,-761
763,1,0,12,0,-12
764,1,1,762,1702,940
765,1,0,41,0,-41
766,0,0,9,0,-9
767,0,0,45,0,-45
768,1,1,2433,2150,-283
769,1,1,2078,1241,-837
770,0,0,84,0,-84
771,0,0,23,0,-23
772,1,0,115,0,-115
773,0,0,32,0,-32
774,1,0,26,0,-26
775,1,0,155,0,-155
776,0,0,18,0,-18
777,1,1,562,1304,742
778,1,0,78,0,-78
779,0,0,41,0,-41
780,1,0,106,0,-106
781,1,0,2,0,-2
782,1,0,95,0,-95
783,0,0,123,0,-123
784,0,0,37,0,-37
785,1,0,46,0,-46
786,0,0,1,0,-1
787,0,0,45,0,-45
788,1,0,82,0,-82
789,1,1,1098,1871,773
790,1,1,1402,1304,-98
791,1,1,98,1224,1126
792,1,1,777,1233,456
793,0,0,5,0,-5
794,1,1,222,1329,1107
795,1,0,134,0,-134
796,0,0,32,0,-32
797,1,1,1166,2423,1257
798,1,0,48,0,-48
799,1,1,271,1599,1328
800,1,1,1451,1306,-145
801,0,0,20,0,-20
802,1,0,77,0,-77
803,1,1,650,1820,1170
804,0,0,1,0,-1
805,1,1,138,3434,3296
806,1,1,137,1203,1066
807,1,0,32,0,-32
808,0,0,70,0,-70
809,1,1,114,1591,1477
810,1,0,41,0,-41
811,0,0,8,0,-8
812,1,0,9,0,-9
813,0,0,69,0,-69
814,0,0,80,0,-80
815,1,0,27,0,-27
816,1,0,71,0,-71
817,0,0,37,0,-37
818,0,0,16,0,-16
819,0,0,213,0,-213
820,1,0,20,0,-20
821,0,0,6,0,-6
822,0,0,72,0,-72
823,0,0,43,0,-43
824,1,1,1089,1999,910
825,0,0,3,0,-3
826,1,1,460,1966,1506
827,0,0,15,0,-15
828,1,1,74,1294,1220
829,1,1,199,1547,1348
830,1,0,54,0,-54
831,1,0,4,0,-4
832,0,0,31,0,-31
833,1,1,981,1383,402
834,1,1,235,1313,1078
835,1,1,1130,1271,141
836,1,0,5,0,-5
837,1,1,424,1436,1012
838,1,1,374,1454,1080
839,0,0,61,0,-61
840,1,0,67,0,-67
841,1,1,132,1316,1184
842,1,0,62,0,-62
843,0,0,17,0,-17
844,0,0,93,0,-93
845,1,1,774,1467,693
846,1,1,1061,1331,270
847,0,0,19,0,-19
848,1,1,512,4123,3611
849,1,0,31,0,-31
850,0,0,3,0,-3
851,0,0,8,0,-8
852,0,0,46,0,-46
853,1,1,134,1873,1739
854,0,0,58,0,-58
855,1,0,7,0,-7
856,0,0,7,0,-7
857,0,0,6,0,-6
858,1,0,3,0,-3
859,1,1,713,1242,529
860,1,1,307,2049,1742
861,0,0,7,0,-7
862,0,0,22,0,-22
863,1,0,3,0,-3
864,0,0,18,0,-18
865,1,0,76,0,-76
866,0,0,3,0,-3
867,0,0,77,0,-77
868,1,1,355,1610,1255
869,1,0,24,0,-24
870,0,0,3,0,-3
871,1,0,23,0,-23
872,1,1,241,4121,3880
873,1,1,282,1993,1711
874,0,0,32,0,-32
875,1,1,700,1485,785
876,1,1,1312,1436,124
877,1,0,46,0,-46
878,1,1,422,1334,912
879,1,0,72,0,-72
880,0,0,122,0,-122
881,1,0,16,0,-16
882,1,1,926,1353,427
883,1,0,38,0,-38
884,1,0,8,0,-8
885,0,0,21,0,-21
886,0,0,3,0,-3
887,0,0,15,0,-15
888,0,0,23,0,-23
889,1,1,70,1314,1244
890,0,0,214,0,-214
891,0,0,8,0,-8
892,0,0,1,0,-1
893,1,1,215,1369,1154
894,1,0,11,0,-11
895,1,1,238,1238,1000
896,0,0,59,0,-59
897,0,0,27,0,-27
898,1,1,2052,1768,-284
899,0,0,8,0,-8
900,0,0,46,0,-46
901,0,0,7,0,-7
902,0,0,19,0,-19
903,0,0,24,0,-24
904,1,0,23,0,-23
905,1,0,83,0,-83
906,1,1,270,1456,1186
907,1,1,310,1576,1266
908,0,0,10,0,-10
909,1,0,80,0,-80
910,1,1,1089,1291,202
911,1,0,27,0,-27
912,1,0,23,0,-23
913,1,1,810,1373,563
914,1,0,28,0,-28
915,1,1,596,1794,1198
916,1,1,1094,1714,620
917,1,0,15,0,-15
918,0,0,24,0,-24
919,1,0,110,0,-110
920,1,1,33,1261,1228
921,1,1,235,1430,1195
922,1,1,348,1279,931
923,1,1,587,1236,649
924,1,0,111,0,-111
925,0,0,182,0,-182
926,1,0,92,0,-92
927,0,0,140,0,-140
928,1,1,385,1451,1066
929,1,1,425,2579,2154
930,0,0,119,0,-119
931,1,1,585,1292,707
932,0,0,14,0,-14
933,0,0,61,0,-61
934,1,1,418,1275,857
935,1,1,661,1552,891
936,1,1,1998,1390,-608
937,0,0,9,0,-9
938,0,0,196,0,-196
939,0,0,0,0,0
940,0,0,101,0,-101
941,0,0,47,0,-47
942,0,0,131,0,-131
943,0,0,17,0,-17
944,1,0,22,0,-22
945,1,1,1199,1242,43
946,0,0,24,0,-24
947,1,1,263,1211,948
948,1,0,92,0,-92
949,1,0,141,0,-141
950,1,0,5,0,-5
951,1,1,623,1409,786
952,1,1,367,1255,888
953,0,0,57,0,-57
954,1,0,22,0,-22
955,0,0,25,0,-25
956,1,0,3,0,-3
957,1,1,328,1600,1272
958,1,1,963,1281,318
959,1,1,933,1759,826
960,0,0,2,0,-2
961,1,1,784,2152,1368
962,0,0,21,0,-21
963,1,1,306,1210,904
964,1,0,62,0,-62
965,1,0,52,0,-52
966,1,1,683,1944,1261
967,1,0,74,0,-74
968,0,0,21,0,-21
969,1,1,294,1238,944
970,1,1,452,1249,797
971,0,0,60,0,-60
972,0,0,18,0,-18
973,0,0,75,0,-75
974,0,0,68,0,-68
975,1,0,82,0,-82
976,0,0,44,0,-44
977,0,0,30,0,-30
978,0,0,5,0,-5
979,0,0,32,0,-32
980,1,1,427,1246,819
981,0,0,53,0,-53
982,1,0,7,0,-7
983,1,0,27,0,-27
984,0,0,23,0,-23
985,1,0,18,0,-18
986,1,1,68,4460,4392
987,0,0,45,0,-45
988,0,0,70,0,-70
989,0,0,9,0,-9
990,0,0,54,0,-54
991,1,0,20,0,-20
992,1,1,111,1662,1551
993,1,1,185,1734,1549
994,1,1,839,1409,570
995,1,0,64,0,-64
996,1,0,134,0,-134
997,1,0,32,0,-32
998,0,0,26,0,-26
999,0,0,45,0,-45
1000,0,0,77,0,-77
1001,0,0,119,0,-119
1002,1,0,85,0,-85
1003,0,0,98,0,-98
1004,1,0,11,0,-11
1005,1,1,204,1220,1016
1006,1,0,124,0,-124
1007,1,1,1212,1491,279
1008,0,0,5,0,-5
1009,1,1,639,1496,857
1010,0,0,6,0,-6
1011,1,1,248,1422,1174
1012,1,0,24,0,-24
1013,1,0,23,0,-23
1014,0,0,26,0,-26
1015,1,1,3791,2397,-1394
1016,0,0,36,0,-36
1017,1,1,1084,1261,177
1018,1,0,3,0,-3
1019,0,0,12,0,-12
1020,1,1,470,1320,850
1021,0,0,103,0,-103
1022,1,0,10,0,-10
1023,1,1,264,1443,1179
1024,1,0,154,0,-154
1025,1,1,271,1789,1518
1026,0,0,161,0,-161
1027,0,0,47,0,-47
1028,1,0,41,0,-41
1029,1,1,605,1478,873
1030,1,0,60,0,-60
1031,1,1,420,1795,1375
1032,1,1,622,1200,578
1033,0,0,20,0,-20
1034,0,0,5,0,-5
1035,1,1,178,1238,1060
1036,1,1,845,2212,1367
1037,0,0,12,0,-12
1038,0,0,63,0,-63
1039,0,0,36,0,-36
1040,1,0,56,0,-56
1041,1,1,96,1300,1204
1042,0,0,21,0,-21
1043,1,0,54,0,-54
1044,0,0,41,0,-41
1045,0,0,4,0,-4
1046,0,0,1,0,-1
1047,0,0,42,0,-42
1048,0,0,9,0,-9
