ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
94,1,0,72,0,-72
95,1,1,1318,1342,24
96,0,0,70,0,-70
97,1,0,41,0,-41
98,0,0,40,0,-40
99,1,0,110,0,-110
100,1,1,516,2086,1570
101,0,0,70,0,-70
102,1,1,36,3152,3116
103,0,0,6,0,-6
104,1,0,16,0,-16
105,0,0,47,0,-47
106,0,0,65,0,-65
107,1,0,71,0,-71
108,1,0,98,0,-98
109,1,0,31,0,-31
110,0,0,49,0,-49
111,1,1,148,1205,1057
112,0,0,50,0,-50
113,0,0,49,0,-49
114,0,0,25,0,-25
115,1,0,134,0,-134
116,1,0,8,0,-8
117,1,0,110,0,-110
118,0,0,16,0,-16
119,1,0,67,0,-67
120,1,1,190,1364,1174
121,1,0,15,0,-15
122,1,1,804,1414,610
123,0,0,58,0,-58
124,0,0,45,0,-45
125,0,0,14,0,-14
126,0,0,55,0,-55
127,0,0,51,0,-51
128,0,0,19,0,-19
129,0,0,48,0,-48
130,1,1,234,1279,1045
131,0,0,20,0,-20
132,0,0,23,0,-23
133,0,0,79,0,-79
134,1,0,32,0,-32
135,0,0,9,0,-9
136,1,0,101,0,-101
137,1,0,69,0,-69
138,1,1,955,1306,351
139,0,0,11,0,-11
140,1,1,400,1427,1027
141,1,0,5,0,-5
142,1,1,782,1323,541
143,1,0,51,0,-51
144,1,1,670,1234,564
145,1,0,17,0,-17
146,0,0,68,0,-68
147,0,0,22,0,-22
148,1,1,206,1288,1082
149,1,1,259,1786,1527
150,1,1,126,1818,1692
151,0,0,60,0,-60
152,0,0,56,0,-56
153,0,0,163,0,-163
154,0,0,50,0,-50
155,0,0,231,0,-231
156,1,1,183,1373,1190
157,0,0,68,0,-68
158,1,1,1441,1466,25
159,1,0,57,0,-57
160,0,0,10,0,-10
161,0,0,17,0,-17
162,0,0,46,0,-46
163,1,0,45,0,-45
164,0,0,36,0,-36
165,1,1,339,1395,1056
166,0,0,23,0,-23
167,0,0,179,0,-179
168,0,0,134,0,-134
169,1,1,1755,1342,-413
170,1,0,94,0,-94
171,1,0,46,0,-46
172,1,0,75,0,-75
173,0,0,46,0,-46
174,0,0,8,0,-8
175,1,0,99,0,-99
176,1,1,272,1285,1013
177,0,0,193,0,-193
178,1,0,168,0,-168
179,1,1,196,1947,1751
180,1,1,361,1468,1107
181,0,0,5,0,-5
182,0,0,66,0,-66
183,0,0,134,0,-134
184,1,0,0,0,0
185,0,0,202,0,-202
186,0,0,4,0,-4
187,0,0,0,0,0
188,1,1,2050,1447,-603
189,0,0,46,0,-46
190,1,1,996,1623,627
191,0,0,11,0,-11
192,0,0,104,0,-104
193,1,0,38,0,-38
194,1,1,331,1216,885
195,1,0,14,0,-14
196,1,1,89,1391,1302
197,1,0,48,0,-48
198,1,1,1332,2325,993
199,0,0,15,0,-15
200,1,0,27,0,-27
201,1,0,4,0,-4
202,1,0,39,0,-39
203,1,0,19,0,-19
204,1,0,28,0,-28
205,1,1,400,1615,1215
206,0,0,75,0,-75
207,1,0,64,0,-64
208,0,0,14,0,-14
209,0,0,64,0,-64
210,0,0,7,0,-7
211,1,0,82,0,-82
212,0,0,12,0,-12
213,1,1,191,1445,1254
214,0,0,21,0,-21
215,0,0,8,0,-8
216,1,1,53,1253,1200
217,1,1,1968,1244,-724
218,1,0,8,0,-8
219,0,0,111,0,-111
220,1,0,25,0,-25
221,0,0,23,0,-23
222,1,0,152,0,-152
223,0,0,17,0,-17
224,0,0,7,0,-7
225,0,0,31,0,-31
226,1,1,444,1383,939
227,0,0,134,0,-134
228,1,1,614,1504,890
229,1,0,120,0,-120
230,1,1,799,1580,781
231,0,0,107,0,-107
232,0,0,12,0,-12
233,1,0,73,0,-73
234,1,0,8,0,-8
235,1,0,31,0,-31
236,1,0,97,0,-97
237,1,0,126,0,-126
238,0,0,45,0,-45
239,1,1,804,1579,775
240,1,0,63,0,-63
241,0,0,41,0,-41
242,1,0,44,0,-44
243,1,1,916,1451,535
244,1,1,566,1658,1092
245,1,0,56,0,-56
246,0,0,174,0,-174
247,1,1,777,1200,423
248,0,0,10,0,-10
249,1,1,521,1249,728
250,1,0,16,0,-16
251,1,0,29,0,-29
252,0,0,43,0,-43
253,0,0,23,0,-23
254,0,0,133,0,-133
255,1,0,58,0,-58
256,0,0,124,0,-124
257,1,0,40,0,-40
258,0,0,15,0,-15
259,1,0,23,0,-23
260,1,0,45,0,-45
261,1,1,175,1212,1037
262,0,0,16,0,-16
263,1,1,666,1207,541
264,1,1,93,1308,1215
265,0,0,32,0,-32
266,0,0,101,0,-101
267,0,0,37,0,-37
268,1,1,143,1354,1211
269,1,0,6,0,-6
270,1,0,30,0,-30
271,1,0,31,0,-31
272,0,0,29,0,-29
273,1,0,13,0,-13
274,1,1,865,1451,586
275,1,0,49,0,-49
276,0,0,189,0,-189
277,1,0,13,0,-13
278,1,0,289,0,-289
279,0,0,22,0,-22
280,0,0,69,0,-69
281,0,0,69,0,-69
282,0,0,80,0,-80
283,0,0,7,0,-7
284,1,1,786,1758,972
285,0,0,24,0,-24
286,0,0,27,0,-27
287,0,0,36,0,-36
288,1,1,623,1254,631
289,0,0,35,0,-35
290,1,1,113,1830,1717
291,1,1,1093,2712,1619
292,1,0,18,0,-18
293,0,0,11,0,-11
294,1,1,410,2880,2470
295,1,1,742,1247,505
296,1,1,35,1356,1321
297,1,1,71,1317,1246
298,1,1,227,1354,1127
299,1,0,301,0,-301
300,0,0,56,0,-56
301,1,1,290,1363,1073
302,1,1,76,1244,1168
303,1,1,379,1253,874
304,0,0,5,0,-5
305,0,0,48,0,-48
306,1,1,730,1813,1083
307,1,0,12,0,-12
308,0,0,10,0,-10
309,1,1,448,1498,1050
310,1,1,3120,1613,-1507
311,1,1,234,1327,1093
312,1,1,147,1209,1062
313,1,1,164,1439,1275
314,1,1,908,2782,1874
315,1,1,241,1455,1214
316,0,0,23,0,-23
317,0,0,29,0,-29
318,0,0,108,0,-108
319,1,1,1161,2643,1482
320,1,0,22,0,-22
321,0,0,9,0,-9
322,1,0,1,0,-1
323,1,1,87,1281,1194
324,1,1,1081,1572,491
325,0,0,8,0,-8
326,1,0,44,0,-44
327,1,1,75,1370,1295
328,1,1,331,1928,1597
329,1,0,3,0,-3
330,1,0,77,0,-77
331,0,0,65,0,-65
332,1,0,8,0,-8
333,0,0,22,0,-22
334,0,0,235,0,-235
335,1,1,278,1744,1466
336,0,0,160,0,-160
337,1,0,66,0,-66
338,1,1,803,1206,403
339,1,0,12,0,-12
340,1,0,5,0,-5
341,1,0,181,0,-181
342,1,0,106,0,-106
343,0,0,102,0,-102
344,1,0,102,0,-102
345,1,0,62,0,-62
346,1,1,70,1300,1230
347,1,0,30,0,-30
348,0,0,4,0,-4
349,0,0,23,0,-23
350,0,0,51,0,-51
351,0,0,51,0,-51
352,0,0,83,0,-83
353,1,1,85,3759,3674
354,0,0,118,0,-118
355,1,0,21,0,-21
356,0,0,20,0,-20
357,0,0,1,0,-1
358,0,0,9,0,-9
359,1,1,476,1350,874
360,1,0,47,0,-47
361,1,0,7,0,-7
362,1,1,538,1210,672
363,1,0,39,0,-39
364,1,0,34,0,-34
365,0,0,111,0,-111
366,1,0,107,0,-107
367,1,1,624,1665,1041
368,0,0,47,0,-47
369,1,1,26,1738,1712
370,1,1,142,1689,1547
371,0,0,19,0,-19
372,0,0,97,0,-97
373,1,1,436,1399,963
374,1,1,372,1317,945
375,0,0,71,0,-71
376,0,0,5,0,-5
377,1,1,19,1497,1478
378,1,0,34,0,-34
379,1,0,6,0,-6
380,1,0,22,0,-22
381,0,0,74,0,-74
382,1,0,51,0,-51
383,1,1,740,1218,478
384,1,0,63,0,-63
385,0,0,18,0,-18
386,1,0,30,0,-30
387,0,0,23,0,-23
388,1,0,26,0,-26
389,0,0,65,0,-65
390,0,0,53,0,-53
391,0,0,50,0,-50
392,1,0,33,0,-33
393,1,0,7,0,-7
394,1,1,992,1218,226
395,0,0,4,0,-4
396,0,0,35,0,-35
397,0,0,230,0,-230
398,1,1,976,1480,504
399,0,0,56,0,-56
400,1,0,318,0,-318
401,1,1,86,1400,1314
402,0,0,112,0,-112
403,1,0,7,0,-7
404,1,1,336,1280,944
405,1,1,392,1598,1206
406,0,0,87,0,-87
407,1,0,59,0,-59
408,0,0,36,0,-36
409,0,0,43,0,-43
410,0,0,16,0,-16
411,1,1,294,2468,2174
412,1,1,95,1203,1108
413,1,0,26,0,-26
414,1,1,292,1434,1142
415,1,0,57,0,-57
416,1,0,58,0,-58
417,1,0,1,0,-1
418,1,0,33,0,-33
419,1,1,291,1681,1390
420,1,0,8,0,-8
421,0,0,11,0,-11
422,0,0,46,0,-46
423,1,0,52,0,-52
424,0,0,76,0,-76
425,0,0,5,0,-5
426,1,0,1,0,-1
427,0,0,92,0,-92
428,1,0,40,0,-40
429,1,0,5,0,-5
430,0,0,46,0,-46
431,1,0,180,0,-180
432,1,1,418,1243,825
433,0,0,3,0,-3
434,1,1,133,1209,1076
435,0,0,52,0,-52
436,1,1,50,1346,1296
437,1,0,118,0,-118
438,1,1,78,1553,1475
439,1,1,557,1335,778
440,1,1,343,1581,1238
441,1,1,277,1289,1012
442,1,1,26,1386,1360
443,1,0,7,0,-7
444,0,0,37,0,-37
445,1,1,285,1494,1209
446,0,0,8,0,-8
447,0,0,13,0,-13
448,1,1,405,1339,934
449,0,0,1,0,-1
450,0,0,21,0,-21
451,1,1,273,1219,946
452,0,0,50,0,-50
453,1,0,5,0,-5
454,0,0,60,0,-60
455,1,1,1482,1292,-190
456,1,1,1944,1275,-669
457,0,0,63,0,-63
458,1,1,786,1223,437
459,1,1,113,1728,1615
460,1,0,55,0,-55
461,0,0,14,0,-14
462,1,1,2030,1360,-670
463,1,1,499,1292,793
464,1,0,89,0,-89
465,0,0,10,0,-10
466,1,1,86,1319,1233
467,0,0,77,0,-77
468,0,0,50,0,-50
469,1,1,409,1463,1054
470,1,0,227,0,-227
471,1,1,1013,1831,818
472,0,0,19,0,-19
473,0,0,3,0,-3
474,1,1,928,1238,310
475,1,0,6,0,-6
476,1,1,279,1257,978
477,0,0,119,0,-119
478,1,0,10,0,-10
479,1,1,184,1819,1635
480,1,0,25,0,-25
481,1,0,26,0,-26
482,1,0,44,0,-44
483,1,0,70,0,-70
484,1,0,54,0,-54
485,1,1,1020,1347,327
486,1,0,140,0,-140
487,1,0,122,0,-122
488,1,1,735,1256,521
489,0,0,25,0,-25
490,1,1,349,1615,1266
491,0,0,21,0,-21
492,1,0,105,0,-105
493,1,0,9,0,-9
494,0,0,75,0,-75
495,0,0,6,0,-6
496,0,0,74,0,-74
497,0,0,75,0,-75
498,0,0,172,0,-172
499,1,1,401,1207,806
500,1,1,1260,1519,259
501,0,0,21,0,-21
502,0,0,0,0,0
503,1,1,231,1320,1089
504,0,0,12,0,-12
505,1,1,46,1215,1169
506,1,0,29,0,-29
507,0,0,3,0,-3
508,1,0,19,0,-19
509,0,0,92,0,-92
510,1,0,19,0,-19
511,1,1,121,2026,1905
512,1,0,31,0,-31
513,1,1,152,1625,1473
514,0,0,127,0,-127
515,0,0,89,0,-89
516,1,1,387,6123,5736
517,1,0,94,0,-94
518,1,1,54,1457,1403
519,1,1,136,1501,1365
520,0,0,18,0,-18
521,0,0,8,0,-8
522,1,1,813,1267,454
523,1,1,119,1242,1123
524,1,1,277,1795,1518
525,0,0,30,0,-30
526,1,1,1196,1728,532
527,0,0,48,0,-48
528,0,0,52,0,-52
529,1,1,165,1634,1469
530,1,0,46,0,-46
531,0,0,9,0,-9
532,1,0,56,0,-56
533,0,0,167,0,-167
534,0,0,83,0,-83
535,1,0,0,0,0
536,0,0,86,0,-86
537,0,0,88,0,-88
538,0,0,14,0,-14
539,1,1,1546,1625,79
540,1,0,0,0,0
541,1,1,430,1933,1503
542,1,1,953,1475,522
543,0,0,5,0,-5
544,0,0,22,0,-22
545,1,1,1100,1231,131
546,1,0,41,0,-41
547,1,0,120,0,-120
548,0,0,15,0,-15
549,0,0,93,0,-93
550,1,1,81,2474,2393
551,1,1,1813,2260,447
552,1,0,125,0,-125
553,1,0,4,0,-4
554,1,1,410,1203,793
555,1,1,690,1429,739
556,0,0,56,0,-56
557,0,0,21,0,-21
558,1,0,59,0,-59
559,1,0,26,0,-26
560,0,0,38,0,-38
561,0,0,14,0,-14
562,1,0,6,0,-6
563,1,0,45,0,-45
564,1,0,45,0,-45
565,1,1,952,2899,1947
566,0,0,50,0,-50
567,0,0,20,0,-20
568,1,1,1175,1527,352
569,1,0,24,0,-24
570,1,1,594,1678,1084
571,1,0,1,0,-1
572,1,0,189,0,-189
573,1,0,133,0,-133
574,1,0,1,0,-1
575,0,0,5,0,-5
576,0,0,21,0,-21
577,1,1,796,1663,867
578,1,0,24,0,-24
579,1,1,686,1451,765
580,1,0,13,0,-13
581,1,0,24,0,-24
582,1,0,3,0,-3
583,0,0,9,0,-9
584,1,1,435,1206,771
585,1,1,106,1433,1327
586,1,0,75,0,-75
587,0,0,132,0,-132
588,1,1,776,1488,712
589,1,0,3,0,-3
590,1,1,682,1232,550
591,1,0,16,0,-16
592,1,0,8,0,-8
593,0,0,21,0,-21
594,0,0,23,0,-23
595,1,0,128,0,-128
596,1,0,14,0,-14
597,0,0,50,0,-50
598,1,0,47,0,-47
599,0,0,4,0,-4
600,1,0,104,0,-104
601,0,0,73,0,-73
602,0,0,161,0,-161
603,1,1,30,4621,4591
604,0,0,14,0,-14
605,0,0,21,0,-21
606,1,0,84,0,-84
607,1,1,237,1592,1355
608,0,0,16,0,-16
609,1,1,1867,1422,-445
610,1,0,120,0,-120
611,1,1,609,1889,1280
612,1,0,105,0,-105
613,1,1,17,1474,1457
614,1,1,44,2364,2320
615,0,0,0,0,0
616,1,0,29,0,-29
617,1,1,1037,1746,709
618,1,1,681,1356,675
619,0,0,30,0,-30
620,0,0,6,0,-6
621,0,0,0,0,0
622,0,0,19,0,-19
623,0,0,38,0,-38
624,1,1,886,2419,1533
625,0,0,95,0,-95
626,1,1,452,1297,845
627,0,0,25,0,-25
628,1,1,1217,1541,324
629,0,0,66,0,-66
630,1,0,137,0,-137
631,1,1,1129,1511,382
632,0,0,31,0,-31
633,0,0,113,0,-113
634,0,0,102,0,-102
635,0,0,13,0,-13
636,1,1,454,1314,860
637,1,0,72,0,-72
638,1,1,124,1472,1348
639,0,0,208,0,-208
640,1,0,157,0,-157
641,0,0,115,0,-115
642,1,1,1047,1512,465
643,1,0,137,0,-137
644,1,0,30,0,-30
645,0,0,16,0,-16
646,0,0,20,0,-20
647,1,1,861,1407,546
648,1,1,1393,1509,116
649,0,0,45,0,-45
650,0,0,38,0,-38
651,1,1,158,1656,1498
652,1,1,1924,1308,-616
653,0,0,14,0,-14
654,0,0,9,0,-9
655,0,0,27,0,-27
656,1,0,49,0,-49
657,0,0,110,0,-110
658,0,0,26,0,-26
659,0,0,27,0,-27
660,1,0,51,0,-51
661,1,1,459,1236,777
662,1,1,1740,1273,-467
663,1,1,1097,1302,205
664,1,0,0,0,0
665,0,0,19,0,-19
666,1,0,1,0,-1
667,0,0,18,0,-18
668,1,1,519,2207,1688
669,0,0,13,0,-13
670,0,0,159,0,-159
671,1,0,16,0,-16
672,1,1,1589,2813,1224
673,1,0,53,0,-53
674,1,1,49,1606,1557
675,1,1,220,1330,1110
676,1,1,391,1354,963
677,0,0,1,0,-1
678,1,0,297,0,-297
679,0,0,39,0,-39
680,1,0,6,0,-6
681,0,0,43,0,-43
682,0,0,4,0,-4
683,0,0,46,0,-46
684,1,0,0,0,0
685,0,0,143,0,-143
686,0,0,55,0,-55
687,0,0,34,0,-34
688,1,1,597,4919,4322
689,0,0,43,0,-43
690,1,0,155,0,-155
691,1,0,29,0,-29
692,0,0,7,0,-7
693,1,1,379,1516,1137
694,1,0,79,0,-79
695,0,0,108,0,-108
696,1,1,571,1343,772
697,1,0,13,0,-13
698,0,0,22,0,-22
699,1,0,11,0,-11
700,1,1,294,2102,1808
701,1,1,472,1761,1289
702,0,0,1,0,-1
703,1,0,4,0,-4
704,1,0,44,0,-44
705,0,0,16,0,-16
706,1,0,24,0,-24
707,1,0,35,0,-35
708,0,0,111,0,-111
709,1,0,20,0,-20
710,0,0,57,0,-57
711,0,0,46,0,-46
712,1,1,1615,1422,-193
713,1,0,48,0,-48
714,1,1,517,1256,739
715,1,1,176,2318,2142
716,1,1,1121,1693,572
717,0,0,133,0,-133
718,1,0,57,0,-57
719,0,0,47,0,-47
720,1,1,699,1323,624
721,1,1,87,1365,1278
722,0,0,33,0,-33
723,1,1,261,1374,1113
724,1,0,129,0,-129
725,1,0,3,0,-3
726,1,0,21,0,-21
727,0,0,58,0,-58
728,0,0,18,0,-18
729,0,0,26,0,-26
730,1,1,133,3383,3250
731,1,0,34,0,-34
732,1,1,160,1284,1124
733,1,0,9,0,-9
734,0,0,1,0,-1
735,1,0,94,0,-94
736,0,0,200,0,-200
737,1,1,983,1357,374
738,1,0,36,0,-36
739,1,1,1312,2000,688
740,1,1,458,1286,828
741,1,0,15,0,-15
742,1,1,362,1217,855
743,0,0,20,0,-20
744,0,0,13,0,-13
745,1,1,529,3660,3131
746,1,0,24,0,-24
747,1,0,97,0,-97
748,1,1,355,1202,847
749,1,0,1,0,-1
750,1,1,17,1265,1248
751,1,0,81,0,-81
752,0,0,7,0,-7
753,1,0,66,0,-66
754,1,1,421,1468,1047
755,1,0,1,0,-1
756,1,1,147,1902,1755
757,1,1,93,1556,1463
758,0,0,76,0,-76
759,1,0,112,0,-112
760,1,0,235,0,-235
761,1,1,1096,1430,334
762,1,0,21,0,-21
763,0,0,82,0,-82
764,1,0,25,0,-25
765,1,1,101,1219,1118
766,0,0,13,0,-13
767,0,0,5,0,-5
768,1,1,2129,1864,-265
769,1,1,892,1469,577
770,0,0,66,0,-66
771,0,0,67,0,-67
772,0,0,0,0,0
773,1,1,356,1374,1018
774,0,0,33,0,-33
775,1,1,1431,1509,78
776,0,0,57,0,-57
777,1,0,7,0,-7
778,0,0,11,0,-11
779,0,0,125,0,-125
780,1,1,983,1605,622
781,1,0,39,0,-39
782,1,1,859,2032,1173
783,1,0,64,0,-64
784,0,0,2,0,-2
785,1,0,23,0,-23
786,1,0,8,0,-8
787,1,1,1092,1682,590
788,1,1,690,1485,795
789,0,0,23,0,-23
790,1,1,301,1302,1001
791,0,0,3,0,-3
792,1,1,682,1690,1008
793,0,0,10,0,-10
794,1,1,123,1442,1319
795,0,0,12,0,-12
796,1,0,74,0,-74
797,1,0,33,0,-33
798,1,1,172,1626,1454
799,0,0,16,0,-16
800,0,0,130,0,-130
801,1,1,330,1288,958
802,1,0,55,0,-55
803,1,0,2,0,-2
804,1,0,38,0,-38
805,0,0,92,0,-92
806,1,1,166,1328,1162
807,1,0,1,0,-1
808,0,0,180,0,-180
809,1,1,18,1232,1214
810,1,0,179,0,-179
811,1,0,5,0,-5
812,0,0,105,0,-105
813,0,0,97,0,-97
814,0,0,43,0,-43
815,1,1,951,1213,262
816,1,1,402,1334,932
817,0,0,62,0,-62
818,1,0,8,0,-8
819,0,0,60,0,-60
820,1,0,30,0,-30
821,1,1,1469,1241,-228
822,1,0,32,0,-32
823,1,1,1857,1376,-481
824,1,0,25,0,-25
825,1,0,17,0,-17
826,1,0,36,0,-36
827,0,0,11,0,-11
828,1,1,144,1251,1107
829,0,0,41,0,-41
830,1,1,381,1538,1157
831,1,1,62,1344,1282
832,1,1,569,1796,1227
833,1,1,83,1261,1178
834,0,0,56,0,-56
835,0,0,86,0,-86
836,0,0,95,0,-95
837,1,1,596,1386,790
838,1,1,148,1235,1087
839,0,0,4,0,-4
840,0,0,18,0,-18
841,1,0,26,0,-26
842,0,0,103,0,-103
843,0,0,6,0,-6
844,0,0,3,0,-3
845,1,0,19,0,-19
846,0,0,86,0,-86
847,1,0,8,0,-8
848,0,0,123,0,-123
849,1,0,54,0,-54
850,1,1,1266,1527,261
851,0,0,0,0,0
852,0,0,8,0,-8
853,1,0,6,0,-6
854,1,0,109,0,-109
855,1,0,17,0,-17
856,0,0,35,0,-35
857,1,1,843,1212,369
858,1,0,33,0,-33
859,0,0,29,0,-29
860,0,0,31,0,-31
861,1,0,72,0,-72
862,0,0,146,0,-146
863,1,0,15,0,-15
864,1,1,765,1332,567
865,0,0,20,0,-20
866,1,0,94,0,-94
867,1,1,327,1210,883
868,1,1,412,1479,1067
869,0,0,15,0,-15
870,0,0,8,0,-8
871,0,0,193,0,-193
872,1,0,36,0,-36
873,0,0,24,0,-24
874,1,0,134,0,-134
875,0,0,4,0,-4
876,0,0,6,0,-6
877,0,0,18,0,-18
878,0,0,8,0,-8
879,0,0,16,0,-16
880,0,0,31,0,-31
881,1,1,119,3262,3143
882,1,1,641,1425,784
883,1,1,351,2161,1810
884,1,0,7,0,-7
885,1,1,414,1546,1132
886,1,1,396,1255,859
887,1,0,197,0,-197
888,1,0,149,0,-149
889,1,0,40,0,-40
890,1,1,1799,2124,325
891,0,0,42,0,-42
892,0,0,81,0,-81
893,1,0,91,0,-91
894,1,1,18,1212,1194
895,0,0,65,0,-65
896,0,0,1,0,-1
897,0,0,18,0,-18
898,0,0,78,0,-78
899,0,0,32,0,-32
900,0,0,87,0,-87
901,0,0,24,0,-24
902,1,1,667,1548,881
903,1,0,52,0,-52
904,1,0,128,0,-128
905,1,0,76,0,-76
906,1,1,570,1204,634
907,0,0,0,0,0
908,1,0,9,0,-9
909,0,0,34,0,-34
910,1,1,472,1323,851
911,1,0,56,0,-56
912,0,0,54,0,-54
913,0,0,118,0,-118
914,1,0,21,0,-21
915,1,0,13,0,-13
916,1,1,838,1641,803
917,1,0,75,0,-75
918,1,1,157,1416,1259
919,1,0,29,0,-29
920,0,0,2,0,-2
921,1,1,515,1226,711
922,0,0,22,0,-22
923,0,0,80,0,-80
924,1,1,341,1278,937
925,1,1,710,1381,671
926,0,0,24,0,-24
927,1,1,181,1472,1291
928,0,0,78,0,-78
929,1,0,4,0,-4
930,0,0,62,0,-62
931,1,1,1319,2247,928
932,1,0,35,0,-35
933,1,1,111,1839,1728
934,0,0,85,0,-85
935,0,0,16,0,-16
936,0,0,7,0,-7
937,1,0,7,0,-7
938,0,0,61,0,-61
939,1,0,21,0,-21
940,1,0,6,0,-6
941,0,0,47,0,-47
942,0,0,40,0,-40
943,0,0,43,0,-43
944,1,1,567,1258,691
945,0,0,63,0,-63
946,1,0,26,0,-26
947,1,0,32,0,-32
948,1,1,631,1239,608
949,1,1,253,2027,1774
950,0,0,6,0,-6
951,1,0,143,0,-143
952,1,1,986,1416,430
953,0,0,14,0,-14
954,1,0,58,0,-58
955,1,0,100,0,-100
956,1,1,535,1632,1097
957,0,0,28,0,-28
958,0,0,63,0,-63
959,0,0,19,0,-19
960,1,0,31,0,-31
961,1,0,4,0,-4
962,0,0,79,0,-79
963,0,0,44,0,-44
964,1,0,55,0,-55
965,1,0,53,0,-53
966,0,0,148,0,-148
967,1,1,442,1326,884
968,1,0,10,0,-10
969,1,1,1755,1319,-436
970,0,0,16,0,-16
971,1,1,766,1488,722
972,1,1,229,1350,1121
973,0,0,32,0,-32
974,1,0,128,0,-128
975,1,0,8,0,-8
976,1,0,116,0,-116
977,1,0,12,0,-12
978,1,0,60,0,-60
979,0,0,39,0,-39
980,0,0,32,0,-32
981,0,0,92,0,-92
982,1,0,149,0,-149
983,1,0,34,0,-34
984,1,0,27,0,-27
985,1,1,515,1706,1191
986,1,1,54,1507,1453
987,1,1,721,2289,1568
988,1,0,24,0,-24
989,1,1,142,1398,1256
990,1,0,72,0,-72
991,1,0,68,0,-68
992,0,0,6,0,-6
993,1,1,654,1453,799
994,0,0,35,0,-35
995,1,1,1034,1289,255
996,1,0,53,0,-53
997,1,0,26,0,-26
998,0,0,67,0,-67
999,1,1,1250,3176,1926
1000,0,0,114,0,-114
1001,0,0,76,0,-76
1002,1,1,400,1524,1124
1003,1,0,55,0,-55
1004,1,1,303,1264,961
1005,0,0,20,0,-20
1006,1,0,78,0,-78
1007,1,0,12,0,-12
1008,1,0,90,0,-90
1009,1,0,15,0,-15
1010,0,0,36,0,-36
1011,1,0,14,0,-14
1012,1,1,1142,1218,76
1013,0,0,84,0,-84
1014,0,0,24,0,-24
1015,1,1,481,1253,772
1016,0,0,120,0,-120
1017,0,0,67,0,-67
1018,1,0,14,0,-14
1019,1,1,750,1310,560
1020,1,1,81,1726,1645
1021,0,0,3,0,-3
1022,1,1,260,1815,1555
1023,0,0,156,0,-156
1024,0,0,44,0,-44
1025,1,0,52,0,-52
1026,1,0,54,0,-54
1027,1,0,9,0,-9
1028,0,0,12,0,-12
1029,0,0,32,0,-32
1030,1,0,75,0,-75
1031,1,0,35,0,-35
1032,1,1,247,1624,1377
1033,1,1,649,2585,1936
1034,1,1,159,1394,1235
1035,1,1,814,1437,623
1036,1,0,5,0,-5
1037,0,0,126,0,-126
1038,0,0,22,0,-22
1039,1,0,41,0,-41
1040,1,1,1900,1381,-519
1041,1,0,174,0,-174
1042,1,0,16,0,-16
1043,0,0,24,0,-24
1044,1,0,94,0,-94
1045,1,1,247,1996,1749
1046,0,0,28,0,-28
1047,1,1,208,1291,1083
1048,1,0,23,0,-23
1049,1,0,0,0,0
1050,0,0,26,0,-26
